2010-10-10 18:28:34 Notice: Notice (8): Undefined property: UsersController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 40]
2010-10-10 18:28:56 Notice: Notice (8): Undefined property: GroupsController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/groups_controller.php, line 38]
2010-10-10 18:29:13 Notice: Notice (8): Undefined property: GroupsController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/groups_controller.php, line 38]
2010-10-10 18:30:27 Notice: Notice (8): Undefined property: ClientsController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 38]
2010-10-10 19:48:36 Notice: Notice (8): Undefined property: ClientsController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 38]
2010-10-10 19:51:15 Notice: Notice (8): Undefined property: GroupsController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/groups_controller.php, line 38]
2010-10-10 19:58:02 Notice: Notice (8): Undefined property: ClientsController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 38]
2010-10-10 20:00:10 Notice: Notice (8): Undefined property: ClientsController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 38]
2010-10-11 20:08:39 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/controller/components/auth.php, line 527]
2010-10-11 20:09:51 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/controller/components/auth.php, line 527]
2010-10-11 20:12:04 Notice: Notice (8): Undefined property: AuthComponent::$Acl in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/controller/components/auth.php, line 527]
